id,name,country,description,location,maps_url
0,Mirror Beach,Albania,"Mirror Beach is a local favorite featuring many nearby restaurants that are affordable and offers the perfect Mediterranean ambiance. On sunny days, the sun reflects into the pool-like waters, much like a mirror, giving off a beautiful effect.This stunning coastline provides the ideal picture-perfect backdrop for photos that will leave your family and friends amazed.",Saranda,https://www.google.com/maps/place/Plazhi+i+Pasqyrave/
1,Ksamil Beach,Albania,"It features crystalline, turquoise water, a picturesque shoreline with white sand, and stunning views. Ksamil Beach is the best beach for swimming in Albania because of its clean, crystal clear water that is almost always gentle and calm.There are also small islands across the coastline that protect it from strong waves and currents.",Saranda,https://www.google.com/maps/place/Plazhi+Ksamilit/
2,Dhërmi Beach,Albania,"Dhërmi Beach, roughly 1 km long, is a charming coastline that features a pebbly shoreline and pristine blue water. This lovely coastline is fantastic for swimming because the water is clear, and there are also beach loungers you can rent if you want to have a relaxing time on the shore as you sunbathe.",Himarë,https://www.google.com/maps/place/Dh%C3%ABrmiu+Beach/
3,Borsh Beach,Albania,"Borsh Beach, spanning 7 km, is the longest coastline in Albania. It features endless views of the Ionian Sea. This gorgeous beach has a serene ambiance and is large enough that you can find your own spot to relax.Put down a towel or lie on a beach chair as you work on your tan as you listen to music, read a book, or watch the gentle waves.",Himarë,https://www.google.com/maps/place/Plazhi+i+Borshit/
4,Gjipe Beach,Albania,"Gjipe Beach is a small but beautiful coastline, ideal for adventurous beachgoers. This amazing coastline may be petite in size, but it is full of promise and fun possibilities. Getting to the beach is an adventure in itself because you can only access this pristine coastline by hiking or by kayaking.",Himarë,https://www.google.com/maps/place/Gjipe+Beach/
5,Golem Beach,Albania,Golem Beach is one of the most popular beaches in Albania and the second-largest coastline in the country. It has a crescent shape and features backdrops of lush greenery and a white-sand shoreline.,Himarë,https://www.google.com/maps/place/Plazhi+i+Golemit/
6,Orikum Beach,Albania,Orikum Beach is a beautiful coastline featuring crystal clear water and gravel shoreline. It is a favorite of locals and tourists alike for swimming and boating because of its clean water.,Vlore,https://www.google.com/maps/place/Orikum+Beach/
7,Jali Beach,Albania,"It is one of the prettiest beaches in the country, featuring crystalline, azure water that draws in guests from various parts of the world. Jali Beach is picture-perfect and a fantastic location for you to enjoy doing a photoshoot with your friends or family. It is jaw-droppingly gorgeous and provides the best background for breathtaking pictures.",Himarë,https://www.google.com/maps/place/Jale+Beach/
8,Palasa Beach,Albania,"Palasa Beach, also known as Palase Beach, is beautiful and has sparkling blue water and a shoreline that is a mixture of white sand and gravel. Palasa Beach is a popular coastline for sunbathers because of its spacious shoreline.",Himarë,https://www.google.com/maps/place/Palasa+Beach/
9,Buneci Beach,Albania,"Buneci Beach, otherwise known as Bunec Beach, is an unspoiled coastline, fantastic for those seeking a quieter atmosphere. If you are looking for a more laid back beach where you can enjoy a tranquil and relaxing time away from overly large crowds, consider Buneci Beach.",Himarë,https://www.google.com/maps/place/Buneci+Beach/
10,Lukova Beach,Albania,"This small oasis has the perfect combination of lush greenery, a charming shoreline, and pristine water. You and your friends and family can enjoy doing many fun things like playing beach volleyball, fishing, boating, and so on. Lukova Beach has many amenities. Like vendors selling yummy snacks, a beach bar where you can enjoy refreshing drinks, and clean restrooms and showers, great for washing up after a long day.",Lukove,https://www.google.com/maps/place/Lukova+Beach/
11,Livadhi Beach,Albania,"Livadhi Beach features a white stone shoreline, stunning mountainous backdrops, and pool-like water. Take your loved ones on a fun getaway to Livadhi Beach as you get some much-needed catching-up time together. Have a blast together doing countless engaging activities, such as paddle boating, jet-skiing, canoeing, kayaking, boating, and playing a competitive game of beach volleyball.",Himarë,https://www.google.com/maps/place/Livadi+Beach/
12,Drymades Beach,Albania,"Drymades Beach is a top-rated coastline and one of the best that Albania has to offer. It has two sections, divided by rock formations. Activities you can enjoy doing here are enjoying a picnic on the shore, making sandcastles with your youngsters, taking fun photos with your companions, and swimming in the turquoise sea. You can also find beachfront restaurants and bars that serve fresh seafood and mouth-watering local cuisine, perfect for quenching your hunger.",Himarë,https://www.google.com/maps/place/Drimadh%C3%AB+Beach/
13,Narta Beach,Albania,"Narta Beach, found within the Lagoon of Narta, is charming and features calm and gentle water with little to no waves. Narta Beach is great for your youngsters because it is in a lagoon where they can safely swim and splash around. This coastline has amenities like lifeguards, ready to help at all times, a nearby children’s playground to keep your little ones well-entertained, and many restaurants close to the shore with kid-friendly options.",Vlore,https://www.google.com/maps/place/Narta+Beach/
14,Mango Beach,Albania,"Mango Beach, known by locals as Plazhi Mango, is a lively and vibrant coastline with many beachfront hotels and bars. Spend an exciting time with your friends or significant other at Mango Beach. This coastline has a lively nightlife, which is great if you want something fun to do after sunset. Enjoy a relaxing day as you sunbathe, go fishing, try out snorkeling, or swim in the clean water. At night, prepare for a fun-filled time as you dance and drink delicious alcoholic concoctions.",Saranda,https://www.google.com/maps/place/Mango+Beach/
15,Potami Beach,Albania,"Potami Beach, found on the northern end of Himarë Bay, is one of the largest beaches in the area. It is a natural beauty and features clean seawater that is so clear you can easily see the ocean floor. At Potami Beach, you can relax by the shore as you work on your tan and watch over your kids as they splash in the water.",Himarë,https://www.google.com/maps/place/Plazhi+i+Potamit/
16,Llamani Beach,Albania,"Llamani Beach is one of the best beaches in Albania. Here, you can have a wonderful time with your family, friends, or partner because it is jam-packed with fun activities and amenities you can enjoy, like jet-skiing and boating. Here, you can rent sunbeds and umbrellas, which are ideal for relaxing if you don’t feel like laying a beach towel.",Himarë,https://www.google.com/maps/place/Llamani+Beach/
17,Ain Achir Beach,Algeria,"Between the mountains, the rocks, its soft sand, the palm trees and the picturesque awnings of beach that characterize it, surely you will find the ideal place to spend a day of fun and relaxing beach. A small cement square with columns at the end that decorate it, welcomes you before your feet touch the sand.",Annaba,https://www.google.com/maps/place/%D8%B4%D8%A7%D8%B7%D8%A6+%D8%B9%D9%8A%D9%86+%D8%B9%D8%B4%D9%8A%D8%B1Plage+Ain+Achir%E2%80%AD/
18,Sidi Addelkader Beach,Algeria,"Between the mountains, the rocks, its soft sand, the palm trees and the picturesque awnings of beach that characterize it, surely you will find the ideal place to spend a day of fun and relaxing beach. A small cement square with columns at the end that decorate it, welcomes you before your feet touch the sand.",Bejaia,"https://www.google.com/maps/place/36%C2%B018'46.4%22N+0%C2%B038'22.6%22E/@36.3128889,0.6396111,16z?authuser=1"
19,Sahel Beach,Algeria,"Sahel Beach is located in Bejaia, in Central Algeria. This remote beach, with its verdant backdrop and nearby hills, is the perfect place for nature lovers. The water is clear and great for a relaxing bath, and you can hike through the forest and around the hills. Besides, you can camp at the beach and admire the impressive sunrise. There area rocky areas underwater; make sure to have proper shoes if you go swimming.",Bejaia,"https://www.google.com/maps/place/36%C2%B047'35.2%22N+5%C2%B001'02.0%22E/@36.7931111,5.0172222,16z?authuser=1"
20,Les Aiguades Beach,Algeria,"Les Aiguades Beach is located in Bejaia, in Central Algeria. Both sandy and rocky, this beautiful beach offers a relaxing atmosphere, with clear waters and stunning views. It is rather popular, and can get crowded on weekends afternoons, especially during the summer months. You can follow the paths on the mountainside.",Bejaia,"https://www.google.com/maps/place/36%C2%B045'54.1%22N+5%C2%B006'10.5%22E/@36.7650321,5.1007227,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d36.7650278!4d5.1029167"
21,Hadjadj Plage,Algeria,"Hadjadj Plage is located in Mostaganem, Algeria. It is characterized for being a rocky beach, with dark sand and dark blue waters. It is the right place to spend the day, relax and enjoy. If you have the opportunity to stay until the end of the afternoon, we recommend you, as the sunsets enjoyed here are unforgettable, is a wonderful spectacle of nature.",Mostaganem,"https://www.google.com/maps/place/36%C2%B009'01.0%22N+0%C2%B018'36.8%22E/@36.1502821,0.3080282,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0"
22,Madegh Beach,Algeria,"Madegh beach is located in Ain El Kerma, Algeria. It is surrounded by mountains and a lot of vegetation, with a white sand that shines with the sun, is the perfect place to spend the day with family and have fun. Its sky blue waters are perfect for bathing and calming the heat, in addition, being a beach with few waves is perfect for those who just want to relax, for children, and for all those who want to swim a little quietly.",Oran,"https://www.google.com/maps/place/35%C2%B038'21.3%22N+1%C2%B003'34.6%22W/@35.6392543,-1.0618051,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d35.63925!4d-1.0596111"
23,Plage Les Andalouses,Algeria,"Plage Les Andalouses is located in Oran, Algeria. It welcomes you with a beautiful arch, its fine sand and its waters of little waves also welcome you. In order to enter you will have to pay a ticket, but it will be totally worth it, because in your walk along the beach you will probably get shells, rocks and sea crystals. You can do different recreational activities, such as jet skis, boats, shops, music and lots of fun. Near the beach you can also find hotels and restaurants to visit after your day at the beach.",Oran,"https://www.google.com/maps/place/%D8%B4%D8%A7%D8%B7%D8%A6+%D8%A7%D9%84%D8%A3%D9%86%D8%AF%D9%84%D8%B3%D9%8A%D8%A7%D8%AA%E2%80%AD/@35.7083633,-0.9021342,15z/data=!3m1!4b1!4m5!3m4!1s0xd7e97c5ca283f4b:0xa59e2fda27aa58b5!8m2!3d35.7058176!4d-0.8932898"
24,Plage Les Canadiennes,Algeria,"Plage Les Andalouses is located in Oran, Algeria. It welcomes you with a beautiful arch, its fine sand and its waters of little waves also welcome you. In order to enter you will have to pay a ticket, but it will be totally worth it, because in your walk along the beach you will probably get shells, rocks and sea crystals. You can do different recreational activities, such as jet skis, boats, shops, music and lots of fun. Near the beach you can also find hotels and restaurants to visit after your day at the beach.",Skikda,"https://www.google.com/maps/place/36%C2%B047'08.4%22N+3%C2%B019'39.4%22E/@36.785671,3.3254224,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d36.7856667!4d3.3276111"
25,Playa Arazaty Beach,Argentina,"This wide stretch of sand south of the Resistencia bridge is the best river beach in Corrientes. Playa Arazaty has lifeguards and boat ramps, and is a popular spot for fishing and jet skiing. It's a well-kept beach with bathrooms, umbrellas and showers, but visitors are advised not to dip until the beach is officially open as currents are dangerous. A bit of terraforming is done each season to make it safer for bathing. Those who want to venture from the beach to visit the city of Corrientos will find colorful streets, regional indigenous crafts and elegant balconied buildings dating from the turn of the 20th century.",Corrientes,https://www.google.com/maps/place/Playa+Arazaty/
26,Playa Unión,Argentina,"The region’s principal playground, Playa Unión in Trelew is a long stretch of white-sand beach with dramatic waves that attract surfers and windsurfers. It has blocks of summer homes and restaurants serving crisp, fresh rabas (calamari), and the resort has plenty of shops, bars and cafés to enjoy. Many sports take place on the beach, such as volleyball and soccer, but be advised that temperatures can exceed 30 degrees in the summer months. The capital attraction from April to December are the toninas overas (Commerson’s dolphins) that can be spotted swimming close to the beach, as this species of dolphin is endemic to the coast of Patagonia.",Trelew,"https://www.google.com/maps/place/Playa+Uni%C3%B3n,+Chubut+Province,+Argentina/"
