id,name,description,location,url
0,Albania,"Albania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the National History Museum, with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.",,https://www.google.com/maps/place/Albania/
1,Algeria,"Algeria is a North African country with a Mediterranean coastline and a Saharan desert interior. Many empires have left legacies here, such as the ancient Roman ruins in seaside Tipaza. In the capital, Algiers, Ottoman landmarks like circa-1612 Ketchaoua Mosque line the hillside Casbah quarter, with its narrow alleys and stairways. The city’s Neo-Byzantine basilica Notre Dame d’Afrique dates to French colonial rule.",,https://www.google.com/maps/place/Algeria/
2,Argentina,"Argentina has long played an important role in the continent’s history. Following three centuries of Spanish colonization, Argentina declared independence in 1816, and Argentine nationalists were instrumental in revolutionary movements elsewhere, a fact that prompted 20th-century writer Jorge Luis Borges to observe, “South America’s independence was, to a great extent, an Argentine enterprise.",,https://www.google.com/maps/place/Argentina/
3,Aruba,"Aruba is a constituent country of the Kingdom of the Netherlands physically located in the mid-south of the Caribbean Sea, about 29 kilometres north of the Venezuelan peninsula of Paraguaná and 80 kilometres northwest of Curaçao.",,https://www.google.com/maps/place/Aruba/
4,Australia,"Australia, officially the Commonwealth of Australia, is a sovereign country comprising the mainland of the Australian continent, the island of Tasmania, and numerous smaller islands. With an area of 7,617,930 square kilometres, Australia is the largest country by area in Oceania and the world's sixth-largest country.",,https://www.google.com/maps/place/Australia/
5,Belgium,"Belgium, a country in Western Europe, is known for medieval towns, Renaissance architecture and as headquarters of the European Union and NATO. The country has distinctive regions including Dutch-speaking Flanders to the north, French-speaking Wallonia to the south and a German-speaking community to the east. The bilingual capital, Brussels, has ornate guildhalls at Grand-Place and elegant art-nouveau buildings.",,https://www.google.com/maps/place/Belgium/
6,Brazil,"Brazil, officially the Federative Republic of Brazil, is the largest country in both South America and Latin America. At 8.5 million square kilometers and with over 214 million people, Brazil is the world's fifth-largest country by area and the sixth most populous.",,https://www.google.com/maps/place/Brazil/
7,Cambodia,"Cambodia is a Southeast Asian nation whose landscape spans low-lying plains, the Mekong Delta, mountains and Gulf of Thailand coastline. Phnom Penh, its capital, is home to the art deco Central Market, glittering Royal Palace and the National Museum's historical and archaeological exhibits. In the country's northwest are the ruins of Angkor Wat, a massive stone temple complex built during the Khmer Empire.",,https://www.google.com/maps/place/Cambodia/
8,Colombia,"Colombia, officially the Republic of Colombia, is a country in South America with an insular region in North America. It is bordered by the Caribbean Sea to the north, Venezuela to the east, Brazil to the southeast, Ecuador and Peru to the south, the Pacific Ocean to the west and Panama to the northwest.",,https://www.google.com/maps/place/Colombia/
9,Croatia,"Croatia, officially the Republic of Croatia, is a Balkan country at the crossroads of Central and Southeast Europe. It shares a coastline along the Adriatic Sea.",,https://www.google.com/maps/place/Croatia/
10,Dominican Republic,"The Dominican Republic is a Caribbean nation that shares the island of Hispaniola with Haiti to the west. It's known for its beaches, resorts and golfing. Its terrain comprises rainforest, savannah and highlands, including Pico Duarte, the Caribbean’s tallest mountain. Capital city Santo Domingo has Spanish landmarks like the Gothic Catedral Primada de America dating back 5 centuries in its Zona Colonial district.",,https://www.google.com/maps/place/Dominican Republic/
11,Egypt,"Egypt, a country linking northeast Africa with the Middle East, dates to the time of the pharaohs. Millennia-old monuments sit along the fertile Nile River Valley, including Giza's colossal Pyramids and Great Sphinx as well as Luxor's hieroglyph-lined Karnak Temple and Valley of the Kings tombs. The capital, Cairo, is home to Ottoman landmarks like Muhammad Ali Mosque and the Egyptian Museum, a trove of antiquities.",,https://www.google.com/maps/place/Egypt/
